iter	Logloss
0	0.6913974248
1	0.6889051719
2	0.686971255
3	0.6853431521
4	0.6835381318
5	0.6813165311
6	0.6800349437
7	0.6781854506
8	0.6760382797
9	0.6742338906
10	0.6721533849
11	0.6705361526
12	0.6684683699
13	0.6667113558
14	0.6649668541
15	0.6634521285
16	0.6614242759
17	0.6596467032
18	0.657164178
19	0.6555151968
20	0.652927162
21	0.6510142768
22	0.6488677539
23	0.646871889
24	0.6453609191
25	0.6433952728
26	0.641813465
27	0.6407979489
28	0.639402151
29	0.6377215204
30	0.6356942147
31	0.6337031323
32	0.6320092974
33	0.6302499178
34	0.6281743179
35	0.6269019338
36	0.6254636394
37	0.6234583206
38	0.6217180315
39	0.6203302384
40	0.6190734856
41	0.6172503723
42	0.6162507706
43	0.6150428988
44	0.6134086661
45	0.6112302211
46	0.6099562323
47	0.6084735648
48	0.606803982
49	0.6055954375
50	0.6038340802
51	0.6022928623
52	0.6010219187
53	0.5997457888
54	0.5985338372
55	0.5963204558
56	0.5952187693
57	0.594115236
58	0.5923440299
59	0.5908749363
60	0.5890286154
61	0.5877769842
62	0.5866243541
63	0.5844733314
64	0.5826539733
65	0.5812034371
66	0.5797210484
67	0.5782656044
68	0.5771662877
69	0.5748447425
70	0.5734591018
71	0.5721697062
72	0.5709252219
73	0.5700689096
74	0.5683657444
75	0.5666518711
76	0.5653713971
77	0.563800961
78	0.5623202649
79	0.5605589276
80	0.5590684523
81	0.5575000036
82	0.5558262454
83	0.5546701188
84	0.5533505701
85	0.5520804358
86	0.5508868104
87	0.5497842025
88	0.5484677819
89	0.5469146903
90	0.5450995429
91	0.5437205577
92	0.5427842226
93	0.5415320049
94	0.5407022497
95	0.5394836354
96	0.5384290818
97	0.5369338129
98	0.5361213757
99	0.5345229031
100	0.5328825761
101	0.5320191185
102	0.5304209505
103	0.5292107279
104	0.5277589698
105	0.5266473756
106	0.5254681217
107	0.5241635618
108	0.5230591675
109	0.5221502667
110	0.5208123633
111	0.5199237794
112	0.5189815347
113	0.51784115
114	0.5169712201
115	0.5158639608
116	0.514485891
117	0.5133815799
118	0.5121187886
119	0.5112392646
120	0.5102664226
121	0.5093122989
122	0.5075648233
123	0.5065675833
124	0.5051602523
125	0.5040990045
126	0.503452858
127	0.5019414391
128	0.5008499703
129	0.4990908951
130	0.4984817138
131	0.497226343
132	0.4963068318
133	0.4950920006
134	0.4944130032
135	0.4933841583
136	0.4918075518
137	0.4911648132
138	0.489892105
139	0.4887523369
140	0.4877119435
141	0.486593446
142	0.4856896546
143	0.4848814738
144	0.4830669792
145	0.4818136641
146	0.4808740506
147	0.4794908651
148	0.4787258278
149	0.4774714888
150	0.4764816831
151	0.4755427908
152	0.4741710254
153	0.4726964964
154	0.4716745272
155	0.4708289829
156	0.4701691369
157	0.4680510629
158	0.4668175616
159	0.4655276058
160	0.464714894
161	0.4637219102
162	0.4625757132
163	0.4614066081
164	0.4604233922
165	0.4589792677
166	0.4579383471
167	0.4571025398
168	0.4559399998
169	0.4548832822
170	0.4535310465
171	0.4518638941
172	0.4511784229
173	0.4501884362
174	0.4494362268
175	0.4485882698
176	0.4480516299
177	0.4472640561
178	0.4465636307
179	0.4455896152
180	0.4446446389
181	0.4435807163
182	0.4429995544
183	0.441836096
184	0.4409820093
185	0.4399781394
186	0.4391307725
187	0.4382582293
188	0.437128426
189	0.4364518038
190	0.4357518925
191	0.4348714164
192	0.4338206447
193	0.4327604944
194	0.4319670757
195	0.4308006281
196	0.4299127235
197	0.4285762184
198	0.4277526429
199	0.4266504773
200	0.4258317744
201	0.4248767472
202	0.4239121348
203	0.4232194449
204	0.4223671937
205	0.4215214762
206	0.4206913786
207	0.4199373362
208	0.4194375443
209	0.4186641513
210	0.4179716972
211	0.4172476646
212	0.4160998019
213	0.415216623
214	0.4143796176
215	0.4136263462
216	0.4128792475
217	0.4117552996
218	0.4110119208
219	0.4101453158
220	0.4088136153
221	0.4078237402
222	0.406909964
223	0.4062349861
224	0.4057602172
225	0.4049129547
226	0.4041159603
227	0.4032098801
228	0.4024108208
229	0.4020095432
230	0.4014509543
231	0.4008975727
232	0.4002970424
233	0.3994481836
234	0.3988814763
235	0.398179949
236	0.3971275573
237	0.3963777344
238	0.3954355088
239	0.3949082664
240	0.3942473536
241	0.3933725598
242	0.3925617164
243	0.391683659
244	0.3906061552
245	0.3898955219
246	0.388827921
247	0.3880619151
248	0.387407362
249	0.3865708106
250	0.385421914
251	0.3850701158
252	0.3845478049
253	0.3841182276
254	0.383795846
255	0.3831258921
256	0.3823593774
257	0.3817836257
258	0.3811588045
259	0.3803670563
260	0.3795319195
261	0.3788180228
262	0.3782428719
263	0.3774919114
264	0.3768426286
265	0.3761455088
266	0.3750797799
267	0.3745745951
268	0.3739995582
269	0.3733413534
270	0.372566433
271	0.372128851
272	0.3714094766
273	0.3709641106
274	0.3703063495
275	0.369630996
276	0.3691529394
277	0.3685313688
278	0.3681319095
279	0.3672603361
280	0.3667955924
281	0.3663425472
282	0.365959246
283	0.3653202368
284	0.3645512288
285	0.3636704339
286	0.3631546812
287	0.3625316468
288	0.3618284068
289	0.3613787392
290	0.3606529484
291	0.3599828953
292	0.3595370218
293	0.3586892528
294	0.3578103948
295	0.3569743202
296	0.3563712833
297	0.3558177587
298	0.3551089402
299	0.3545055663
300	0.3538647704
301	0.3529821824
302	0.3523086298
303	0.3518604225
304	0.3510228023
305	0.3502296426
306	0.3496958895
307	0.3490192858
308	0.3484354675
309	0.3478594234
310	0.3473117762
311	0.3466920705
312	0.3457010201
313	0.3450406053
314	0.3446100701
315	0.3438334721
316	0.3431272361
317	0.3423425074
318	0.341575911
319	0.3409480369
320	0.3403785803
321	0.3392876789
322	0.3387796456
323	0.3380265488
324	0.3375814053
325	0.33688072
326	0.3363274454
327	0.3357626777
328	0.3350691521
329	0.3347212877
330	0.334380325
331	0.3337262769
332	0.3331716832
333	0.3327990491
334	0.3320400189
335	0.3314805652
336	0.3306394395
337	0.3299545974
338	0.3294406698
339	0.3287789357
340	0.3281806411
341	0.3274955073
342	0.3271449431
343	0.3264676361
344	0.3259093595
345	0.3254084407
346	0.3246990888
347	0.3242860105
348	0.323848031
349	0.323450143
350	0.3230600768
351	0.3224908523
352	0.3217301126
353	0.3211704766
354	0.32056357
355	0.3202169482
356	0.3196918119
357	0.3190672121
358	0.3185467996
359	0.3180919509
360	0.31734029
361	0.3166038465
362	0.3158566618
363	0.3153333761
364	0.3149091376
365	0.3141467235
366	0.3136771007
367	0.3132244462
368	0.3123558328
369	0.3118643379
370	0.3114310157
371	0.3106983486
372	0.3099884701
373	0.3093797888
374	0.3089483103
375	0.3081929018
376	0.3076919296
377	0.3070295779
378	0.3063855936
379	0.3060901597
380	0.3057854493
381	0.3053699889
