iter	Passed	Remaining
0	15	15246
1	28	14373
2	45	15221
3	63	15808
4	80	16114
5	96	16003
6	112	15954
7	129	16051
8	146	16133
9	163	16141
10	179	16124
11	194	16014
12	212	16123
13	229	16149
14	245	16152
15	261	16072
16	278	16090
17	293	16026
18	309	15991
19	324	15880
20	340	15859
21	358	15915
22	374	15893
23	388	15808
24	403	15743
25	420	15734
26	435	15706
27	451	15680
28	467	15658
29	482	15609
30	500	15655
31	519	15699
32	538	15765
33	555	15790
34	571	15746
35	587	15733
36	603	15696
37	619	15683
38	635	15669
39	652	15662
40	668	15631
41	683	15600
42	700	15581
43	716	15563
44	731	15516
45	746	15484
46	761	15430
47	777	15416
48	790	15346
49	803	15275
50	819	15243
51	832	15179
52	846	15128
53	861	15086
54	874	15024
55	889	14989
56	905	14986
57	918	14924
58	934	14900
59	949	14877
60	964	14849
61	977	14790
62	992	14758
63	1007	14741
64	1022	14708
65	1037	14680
66	1052	14659
67	1068	14648
68	1085	14645
69	1106	14703
70	1126	14737
71	1145	14769
72	1161	14749
73	1164	14569
74	1184	14611
75	1208	14690
76	1235	14806
77	1261	14912
78	1285	14981
79	1293	14871
80	1318	14958
81	1337	14972
82	1360	15026
83	1381	15063
84	1404	15120
85	1424	15136
86	1444	15156
87	1466	15198
88	1484	15197
89	1502	15191
90	1521	15194
91	1539	15199
92	1559	15204
93	1583	15261
94	1602	15265
95	1620	15263
96	1638	15250
97	1656	15248
98	1673	15230
99	1684	15157
100	1694	15084
101	1717	15117
102	1738	15138
103	1757	15144
104	1776	15138
105	1792	15120
106	1811	15114
107	1828	15105
108	1845	15087
109	1864	15086
110	1883	15084
111	1901	15074
112	1921	15082
113	1938	15066
114	1954	15044
115	1971	15021
116	1988	15008
117	2105	15738
118	2139	15842
119	2155	15804
120	2167	15749
121	2181	15700
122	2196	15660
123	2212	15626
124	2226	15585
125	2240	15541
126	2255	15505
127	2272	15480
128	2288	15452
129	2303	15416
130	2317	15372
131	2331	15334
132	2346	15296
133	2360	15255
134	2373	15210
135	2388	15173
136	2403	15139
137	2416	15092
138	2429	15048
139	2443	15008
140	2459	14986
141	2473	14943
142	2487	14906
143	2501	14868
144	2514	14827
145	2529	14793
146	2543	14759
147	2557	14725
148	2572	14690
149	2586	14655
150	2599	14618
151	2612	14576
152	2628	14553
153	2643	14519
154	2656	14484
155	2670	14450
156	2684	14416
157	2700	14393
158	2713	14353
159	2727	14320
160	2741	14287
161	2755	14254
162	2770	14225
163	2786	14202
164	2801	14178
165	2816	14147
166	2830	14120
167	2846	14098
168	2860	14067
169	2875	14039
170	2889	14006
171	2902	13973
172	2916	13941
173	2930	13909
174	2943	13874
175	2957	13844
176	2972	13820
177	2985	13787
178	2999	13756
179	3014	13732
180	3028	13703
181	3041	13671
182	3057	13648
183	3071	13619
184	3085	13591
185	3099	13563
186	3114	13541
187	3129	13517
188	3145	13495
189	3160	13475
