Feature1,Feature2,Correlation
DWI_feature_2,DWI_feature_3,0.9825308763983746
T2_feature_1,T2_feature_2,0.9739558149225163
T1_feature_2,T1_feature_3,0.9716504002484707
T2_feature_3,T2_feature_4,0.9695997010852812
ADC_feature_5,ADC_feature_6,0.9682241187968493
FLAIR_feature_1,FLAIR_feature_2,0.9652555731676152
T2_feature_17,T2_feature_18,0.9650386860115955
DWI_feature_16,DWI_feature_17,0.9632319410883265
T2_feature_2,T2_feature_3,0.9597311507700551
T1_feature_3,T1_feature_4,0.9571721219154802
ADC_feature_17,ADC_feature_18,0.9557786357429882
DWI_feature_10,DWI_feature_11,0.9552496303908181
DWI_feature_3,DWI_feature_4,0.9519239927484394
DWI_feature_8,DWI_feature_9,0.9501327748645296
T1_feature_10,T1_feature_11,0.9472340483166366
FLAIR_feature_13,FLAIR_feature_14,0.9454042277512315
DWI_feature_12,DWI_feature_13,0.9435905056852391
T1_feature_17,T1_feature_18,0.9412709675293714
T1_feature_6,T1_feature_7,0.9404003914639287
T1_feature_2,T1_feature_4,0.937617570750899
DWI_feature_2,DWI_feature_4,0.9357615977918503
T2_feature_1,T2_feature_3,0.9351897357119775
T2_feature_2,T2_feature_4,0.9334989946241956
T2_feature_10,T2_feature_11,0.9321190290512664
ADC_feature_11,ADC_feature_12,0.9288284573620241
DWI_feature_5,DWI_feature_6,0.9247452452376284
T1_feature_13,T1_feature_14,0.918344039491136
DWI_feature_1,DWI_feature_2,0.9137458304266075
T2_feature_1,T2_feature_4,0.9091818956125189
ADC_feature_13,ADC_feature_14,0.9044231008398236
T2_feature_12,T2_feature_13,0.903932527876818
ADC_feature_15,ADC_feature_16,0.9021519938894172
DWI_feature_1,DWI_feature_3,0.9017398295832545
T1_feature_5,T1_feature_6,0.8979356636248297
ADC_feature_1,ADC_feature_2,0.8969909057914653
FLAIR_feature_9,FLAIR_feature_10,0.894222356442377
T2_feature_14,T2_feature_15,0.8918170683431679
ADC_feature_8,ADC_feature_9,0.8891289048377385
DWI_feature_17,DWI_feature_18,0.8880720396222509
T1_feature_16,T1_feature_17,0.8870867653973235
FLAIR_feature_3,FLAIR_feature_4,0.8865228230084974
ADC_feature_9,ADC_feature_10,0.8765038903333715
DWI_feature_1,DWI_feature_4,0.8669641669438635
DWI_feature_6,DWI_feature_7,0.8663879480183431
FLAIR_feature_2,FLAIR_feature_3,0.8620287725497686
T1_feature_1,T1_feature_2,0.860448136272161
ADC_feature_6,ADC_feature_7,0.8562887743070524
T1_feature_18,T1_feature_19,0.8555114508373711
T2_feature_8,T2_feature_9,0.852805714764539
FLAIR_feature_4,FLAIR_feature_5,0.849284522677242
FLAIR_feature_1,FLAIR_feature_3,0.8474434740373195
DWI_feature_16,DWI_feature_18,0.846809665090412
T1_feature_5,T1_feature_7,0.8458626172181474
T1_feature_11,T1_feature_12,0.8441105087596422
ADC_feature_2,ADC_feature_3,0.8439952135704145
T2_feature_19,T2_feature_20,0.840757280806141
DWI_feature_13,DWI_feature_14,0.8339381074893671
FLAIR_feature_18,FLAIR_feature_19,0.8331956649746067
T1_feature_17,T1_feature_19,0.8329119127666832
FLAIR_feature_5,FLAIR_feature_6,0.8302201077031078
ADC_feature_5,ADC_feature_7,0.829676482905414
T1_feature_16,T1_feature_18,0.8292156178726598
FLAIR_feature_14,FLAIR_feature_15,0.8261936620922837
DWI_feature_5,DWI_feature_7,0.8210032859911491
T1_feature_1,T1_feature_3,0.819644289757904
T1_feature_10,T1_feature_12,0.8103610080634809
T2_feature_5,T2_feature_6,0.8091740475555835
ADC_feature_18,ADC_feature_19,0.8076078541504691
ADC_feature_19,ADC_feature_20,0.806809573140194
FLAIR_feature_19,FLAIR_feature_20,0.8035113219600726
T1_feature_1,T1_feature_4,0.8029499466351496
DWI_feature_7,DWI_feature_8,0.7990819014052956
T2_feature_4,T2_feature_5,0.7979333522652337
T2_feature_9,T2_feature_10,0.7948811117216013
ADC_feature_3,ADC_feature_4,0.7948550014077419
FLAIR_feature_15,FLAIR_feature_16,0.7880757750610639
T1_feature_8,T1_feature_9,0.7873824002985168
FLAIR_feature_13,FLAIR_feature_15,0.7836771447786931
FLAIR_feature_2,FLAIR_feature_4,0.7826087373640075
FLAIR_feature_6,FLAIR_feature_7,0.7797525704034158
FLAIR_feature_1,FLAIR_feature_4,0.7770124270209919
DWI_feature_12,DWI_feature_14,0.775329858964638
ADC_feature_8,ADC_feature_10,0.7749192246391396
FLAIR_feature_10,FLAIR_feature_11,0.7745134651362984
T2_feature_3,T2_feature_5,0.774000179731142
T2_feature_7,T2_feature_8,0.7717265789719693
T2_feature_18,T2_feature_19,0.7684015022489504
DWI_feature_18,DWI_feature_19,0.7675617773528935
ADC_feature_17,ADC_feature_19,0.7606375591382933
DWI_feature_7,DWI_feature_9,0.7521923220831127
T2_feature_2,T2_feature_5,0.7489940058566804
FLAIR_feature_3,FLAIR_feature_5,0.7448552963118867
cross_modality_feature_1,cross_modality_feature_2,0.7443352700570462
T2_feature_1,T2_feature_5,0.7437694325470713
T1_feature_16,T1_feature_19,0.7340146148062959
ADC_feature_1,ADC_feature_3,0.7304792432077153
FLAIR_feature_17,FLAIR_feature_18,0.7296348767380151
T2_feature_17,T2_feature_19,0.7273898590692364
cross_modality_feature_2,cross_modality_feature_3,0.721511984896537
FLAIR_feature_7,FLAIR_feature_8,0.7214368350697938
DWI_feature_4,DWI_feature_5,0.7107554463409687
DWI_feature_11,DWI_feature_12,0.7105544979997117
T1_feature_12,T1_feature_13,0.7096405623173464
T2_feature_9,T2_feature_11,0.7094694927429518
cross_modality_feature_1,cross_modality_feature_3,0.7093207532814814
T2_feature_13,T2_feature_14,0.7082235257096071
T2_feature_16,T2_feature_17,0.7013732012039343
