Feature1,Feature2,Correlation
DWI_feature_1,DWI_feature_2,0.992734602230909
DWI_feature_2,DWI_feature_3,0.9881818038503754
FLAIR_feature_3,FLAIR_feature_4,0.9793174010941461
DWI_feature_1,DWI_feature_3,0.9787783012106341
ADC_feature_3,ADC_feature_4,0.9712328609331211
FLAIR_feature_8,FLAIR_feature_9,0.9670388523790693
T2_feature_4,T2_feature_5,0.9659737754512483
T1_feature_14,T1_feature_15,0.9609965604189832
T1_feature_2,T1_feature_3,0.9603126918577994
T2_feature_1,T2_feature_2,0.9553289082091716
T2_feature_10,T2_feature_11,0.9524133866818227
FLAIR_feature_9,FLAIR_feature_10,0.9508729712445081
FLAIR_feature_1,FLAIR_feature_2,0.9445500673110464
FLAIR_feature_14,FLAIR_feature_15,0.9382050628614
FLAIR_feature_2,FLAIR_feature_3,0.9229677401919619
FLAIR_feature_8,FLAIR_feature_10,0.9175742696860301
T2_feature_5,T2_feature_6,0.910529005144586
T1_feature_8,T1_feature_9,0.9098743144761118
FLAIR_feature_2,FLAIR_feature_4,0.9072764132684478
T1_feature_13,T1_feature_14,0.9005510419895082
T2_feature_11,T2_feature_12,0.8974943880751977
DWI_feature_5,DWI_feature_6,0.8973144459020624
ADC_feature_8,ADC_feature_9,0.891682423594506
T2_feature_4,T2_feature_6,0.8794499560742588
DWI_feature_6,DWI_feature_7,0.8763406662342176
ADC_feature_14,ADC_feature_15,0.8751003575230226
ADC_feature_1,ADC_feature_2,0.8723198284288085
FLAIR_feature_1,FLAIR_feature_3,0.8719781220995672
DWI_feature_8,DWI_feature_9,0.8672356073322343
T1_feature_13,T1_feature_15,0.8585121658437134
ADC_feature_10,ADC_feature_11,0.8544079566380264
T2_feature_12,T2_feature_13,0.8542733784271521
FLAIR_feature_1,FLAIR_feature_4,0.8541215736108103
T2_feature_10,T2_feature_12,0.8490453990514532
T1_feature_6,T1_feature_7,0.8437367186995829
T2_feature_7,T2_feature_8,0.8435169926361817
DWI_feature_7,DWI_feature_8,0.8416684100606584
FLAIR_feature_11,FLAIR_feature_12,0.8408676897997619
T1_feature_1,T1_feature_2,0.8274809605689211
DWI_feature_10,DWI_feature_11,0.8196614436359912
T1_feature_10,T1_feature_11,0.8195041522245224
T1_feature_11,T1_feature_12,0.8175905655078354
T2_feature_2,T2_feature_3,0.8106724856181959
T2_feature_14,T2_feature_15,0.8054062748823165
DWI_feature_3,DWI_feature_4,0.8030206449869497
FLAIR_feature_12,FLAIR_feature_13,0.8015510854102227
T1_feature_1,T1_feature_3,0.801336986764703
T1_feature_3,T1_feature_4,0.7998668723907854
ADC_feature_6,ADC_feature_7,0.7964290464943944
DWI_feature_2,DWI_feature_4,0.7925788392427334
DWI_feature_11,DWI_feature_12,0.7916047253728544
T2_feature_6,T2_feature_7,0.7906930832750929
DWI_feature_1,DWI_feature_4,0.7825009053910005
T2_feature_9,T2_feature_10,0.7808475157426222
DWI_feature_5,DWI_feature_7,0.7806495239550465
ADC_feature_2,ADC_feature_3,0.7762513761487023
T2_feature_11,T2_feature_13,0.7696940584938404
FLAIR_feature_6,FLAIR_feature_7,0.7678010093923936
ADC_feature_2,ADC_feature_4,0.763955414972994
T2_feature_8,T2_feature_9,0.763665093748577
T2_feature_1,T2_feature_3,0.761270251525289
T1_feature_2,T1_feature_4,0.7604674193053673
FLAIR_feature_10,FLAIR_feature_11,0.7589401000925964
T2_feature_5,T2_feature_7,0.752164346285846
T2_feature_4,T2_feature_7,0.7513274610588407
ADC_feature_7,ADC_feature_8,0.743365951676141
DWI_feature_14,DWI_feature_15,0.7416784480371142
FLAIR_feature_5,FLAIR_feature_6,0.7399162977215575
DWI_feature_6,DWI_feature_8,0.7396274935552133
T2_feature_9,T2_feature_11,0.7347636725636789
DWI_feature_4,DWI_feature_5,0.7322887797055676
T1_feature_5,T1_feature_6,0.7291937737136759
DWI_feature_7,DWI_feature_9,0.7280592575212935
T1_feature_4,T1_feature_5,0.7264969000966212
T1_feature_12,T1_feature_13,0.7220422374119789
T2_feature_10,T2_feature_13,0.7212887934781409
DWI_feature_9,DWI_feature_10,0.7211892789656162
ADC_feature_7,ADC_feature_9,0.7168139905124767
FLAIR_feature_9,FLAIR_feature_11,0.7153481934925663
T2_feature_3,T2_feature_4,0.7045537418423089
T1_feature_7,T1_feature_8,0.7006959455234063
ADC_feature_12,ADC_feature_13,0.7000004929964125
