Feature_Set,Model,Accuracy,Precision,Recall,F1_Score,AUC,N_Features
All Features,Random Forest,0.6923076923076923,0.7058823529411765,0.8,0.75,0.6606060606060605,535
All Features,Gradient Boosting,0.6538461538461539,0.6666666666666666,0.8,0.7272727272727273,0.6666666666666666,535
All Features,Extra Trees,0.6153846153846154,0.631578947368421,0.8,0.7058823529411765,0.6242424242424242,535
All Features,Logistic Regression,0.5,0.5714285714285714,0.5333333333333333,0.5517241379310345,0.4878787878787879,535
All Features,SVM,0.46153846153846156,0.6666666666666666,0.13333333333333333,0.2222222222222222,0.30303030303030304,535
All Features,XGBoost,0.5769230769230769,0.6111111111111112,0.7333333333333333,0.6666666666666666,0.6181818181818182,535
All Features,CatBoost,0.6153846153846154,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6242424242424243,535
All Features,LightGBM,0.6153846153846154,0.631578947368421,0.8,0.7058823529411765,0.6606060606060606,535
Top 100,Random Forest,0.5384615384615384,0.6153846153846154,0.5333333333333333,0.5714285714285714,0.6060606060606062,100
Top 100,Gradient Boosting,0.5769230769230769,0.6428571428571429,0.6,0.6206896551724138,0.6727272727272728,100
Top 100,Extra Trees,0.6538461538461539,0.65,0.8666666666666667,0.7428571428571429,0.603030303030303,100
Top 100,Logistic Regression,0.5384615384615384,0.6,0.6,0.6,0.5757575757575757,100
Top 100,SVM,0.6923076923076923,0.7058823529411765,0.8,0.75,0.6424242424242425,100
Top 100,XGBoost,0.5769230769230769,0.6428571428571429,0.6,0.6206896551724138,0.5757575757575758,100
Top 100,CatBoost,0.6538461538461539,0.6875,0.7333333333333333,0.7096774193548387,0.6242424242424243,100
Top 100,LightGBM,0.6153846153846154,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6181818181818182,100
Top 70,Random Forest,0.6538461538461539,0.6875,0.7333333333333333,0.7096774193548387,0.6545454545454545,70
Top 70,Gradient Boosting,0.6153846153846154,0.6470588235294118,0.7333333333333333,0.6875,0.7212121212121212,70
Top 70,Extra Trees,0.6923076923076923,0.7058823529411765,0.8,0.75,0.6272727272727273,70
Top 70,Logistic Regression,0.5769230769230769,0.6428571428571429,0.6,0.6206896551724138,0.5636363636363636,70
Top 70,SVM,0.6538461538461539,0.6875,0.7333333333333333,0.7096774193548387,0.6424242424242423,70
Top 70,XGBoost,0.5769230769230769,0.625,0.6666666666666666,0.6451612903225806,0.6181818181818182,70
Top 70,CatBoost,0.6538461538461539,0.6875,0.7333333333333333,0.7096774193548387,0.6666666666666667,70
Top 70,LightGBM,0.6153846153846154,0.6923076923076923,0.6,0.6428571428571429,0.6545454545454544,70
Top 50,Random Forest,0.6153846153846154,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6242424242424243,50
Top 50,Gradient Boosting,0.5769230769230769,0.625,0.6666666666666666,0.6451612903225806,0.6484848484848483,50
Top 50,Extra Trees,0.6153846153846154,0.631578947368421,0.8,0.7058823529411765,0.6303030303030304,50
Top 50,Logistic Regression,0.6538461538461539,0.7142857142857143,0.6666666666666666,0.6896551724137931,0.5696969696969697,50
Top 50,SVM,0.6538461538461539,0.6875,0.7333333333333333,0.7096774193548387,0.6,50
Top 50,XGBoost,0.5,0.5625,0.6,0.5806451612903226,0.5515151515151515,50
Top 50,CatBoost,0.6538461538461539,0.6875,0.7333333333333333,0.7096774193548387,0.6181818181818182,50
Top 50,LightGBM,0.6153846153846154,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.606060606060606,50
