feature,importance
T1_original_firstorder_Minimum,0.03711477673338853
ADC_original_firstorder_Minimum,0.024970731478776348
T1_original_glcm_Idmn,0.022851419933527715
DWI_original_shape_Maximum2DDiameterSlice,0.018190882359888444
T2_original_ngtdm_Busyness,0.018059982611503954
T2_original_glszm_GrayLevelNonUniformity,0.017491796440709383
T1_original_glrlm_LongRunEmphasis,0.01698449315667694
T1_original_shape_Maximum2DDiameterColumn,0.016542568957033897
T2_original_shape_Maximum2DDiameterRow,0.016197383832093813
DWI_original_shape_VoxelVolume,0.015942791103533062
FLAIR_original_shape_Maximum2DDiameterRow,0.015575738961202634
T1_original_shape_Maximum2DDiameterSlice,0.014984630283157739
ADC_original_shape_Maximum2DDiameterColumn,0.014982366877738877
T1_original_gldm_DependenceVariance,0.014856256476073715
T1_original_glrlm_RunVariance,0.01472376197290911
ADC_original_shape_Maximum2DDiameterSlice,0.014033880162309593
DWI_original_shape_Maximum2DDiameterColumn,0.01349717164740822
T1_original_shape_Maximum2DDiameterRow,0.013346252894330078
FLAIR_original_shape_Maximum2DDiameterSlice,0.01318078945251859
T2_original_firstorder_Minimum,0.013027001041506874
DWI_original_shape_Maximum2DDiameterRow,0.012758198586328979
ADC_original_glszm_ZoneEntropy,0.0125728471308862
ADC_original_glrlm_ShortRunLowGrayLevelEmphasis,0.012416299514015825
FLAIR_original_glcm_InverseVariance,0.012375980505803736
ADC_original_glrlm_GrayLevelNonUniformity,0.012274587839185112
ADC_original_glcm_Idn,0.012220054940500632
T1_original_gldm_DependenceNonUniformityNormalized,0.012217425686484477
FLAIR_original_shape_Maximum2DDiameterColumn,0.01206749842974121
T1_original_firstorder_Kurtosis,0.011940763603427584
T1_original_shape_Maximum3DDiameter,0.011860557321638826
ADC_original_shape_MeshVolume,0.011797371330739775
FLAIR_original_shape_SurfaceVolumeRatio,0.011591725624891603
DWI_original_shape_SurfaceVolumeRatio,0.01158125553122068
FLAIR_original_gldm_DependenceNonUniformityNormalized,0.011194058037286037
ADC_original_shape_Maximum2DDiameterRow,0.010779447588900648
T2_original_shape_Maximum2DDiameterSlice,0.010658676795473256
ADC_original_glrlm_LowGrayLevelRunEmphasis,0.010621428701015363
T1_original_glcm_Idn,0.010564527824459859
T1_original_shape_SurfaceVolumeRatio,0.010512916103317513
DWI_original_shape_Maximum3DDiameter,0.01035617309519991
DWI_original_glrlm_RunLengthNonUniformity,0.010306097558765336
T1_original_glcm_Id,0.01026340962985053
T1_original_glszm_ZonePercentage,0.01015120008858186
DWI_original_glrlm_LongRunEmphasis,0.010118664320432642
DWI_original_glrlm_RunPercentage,0.010112293341122815
FLAIR_original_glrlm_RunVariance,0.009580023738392755
DWI_original_gldm_DependenceNonUniformity,0.009575069201273337
FLAIR_original_firstorder_TotalEnergy,0.00952787516188111
ADC_original_glcm_Idmn,0.009508018837643035
T1_original_firstorder_Median,0.009395193935190203
T2_original_shape_Maximum2DDiameterColumn,0.00934848161933653
DWI_original_glrlm_RunVariance,0.00933483787662949
T2_original_glrlm_RunVariance,0.009279912550150543
FLAIR_original_shape_MeshVolume,0.00924722464498025
T2_original_glcm_Idmn,0.009008547590372819
FLAIR_original_glcm_Id,0.008948989768974748
T1_original_gldm_SmallDependenceEmphasis,0.008880905811015109
ADC_original_shape_VoxelVolume,0.008739958098642408
ADC_original_glszm_SmallAreaLowGrayLevelEmphasis,0.008734741151457366
FLAIR_original_glrlm_RunLengthNonUniformity,0.008600400204212355
T1_original_firstorder_Mean,0.008447011842173219
FLAIR_original_glrlm_LongRunEmphasis,0.007730763347547996
T1_original_glrlm_RunLengthNonUniformityNormalized,0.007712307854184904
ADC_original_shape_Maximum3DDiameter,0.007683520395741361
FLAIR_original_shape_VoxelVolume,0.007673865275702695
FLAIR_original_glcm_Idm,0.007584024535531391
FLAIR_original_glcm_Idmn,0.007512602823031364
T1_original_shape_VoxelVolume,0.007469965858902469
ADC_original_gldm_DependenceEntropy,0.007374585094976299
T2_original_shape_VoxelVolume,0.007143161711559096
T2_original_glszm_LargeAreaLowGrayLevelEmphasis,0.0069615338748459776
FLAIR_original_shape_Maximum3DDiameter,0.0069380799106144135
T2_original_glcm_Idn,0.006923753236087496
T1_original_ngtdm_Contrast,0.006879210380396997
T1_original_shape_MeshVolume,0.006643652201463377
FLAIR_original_gldm_DependenceVariance,0.006578794812132034
ADC_original_shape_SurfaceVolumeRatio,0.00657270856925555
ADC_original_gldm_SmallDependenceLowGrayLevelEmphasis,0.006404303635906681
FLAIR_original_gldm_LargeDependenceEmphasis,0.006353450292497354
T2_original_gldm_DependenceNonUniformity,0.0063000451919903175
DWI_original_gldm_DependenceVariance,0.006223270880416615
FLAIR_original_firstorder_Minimum,0.0062170731594671964
FLAIR_original_glcm_Idn,0.006052932609732654
T2_original_glrlm_LongRunEmphasis,0.006019994785934727
T2_original_glrlm_GrayLevelNonUniformity,0.005604691636387628
FLAIR_original_gldm_DependenceNonUniformity,0.0053765741591072025
T1_original_gldm_LargeDependenceEmphasis,0.00520800177480542
T1_original_glrlm_RunPercentage,0.0050517042101152565
T2_original_shape_SurfaceVolumeRatio,0.004788864118391357
DWI_original_gldm_LargeDependenceEmphasis,0.004784787582071859
T1_original_firstorder_10Percentile,0.004750731970592478
T2_original_shape_Maximum3DDiameter,0.0044279676146786635
FLAIR_original_glrlm_RunLengthNonUniformityNormalized,0.004102508874723064
DWI_original_shape_MeshVolume,0.003532757147044943
FLAIR_original_ngtdm_Contrast,0.0034881977303058385
T2_original_shape_MeshVolume,0.003006297809156209
T2_original_glrlm_RunLengthNonUniformity,0.0029077293369131956
T1_original_glrlm_ShortRunEmphasis,0.002829780564203482
FLAIR_original_glrlm_ShortRunEmphasis,0.002643681818365943
FLAIR_original_glrlm_RunPercentage,0.0025167956773353094
