feature,importance
original_shape_Maximum2DDiameterColumn,0.5682942299316743
original_shape_Elongation,0.3636761544877749
original_shape_MinorAxisLength,0.042169454609040924
original_shape_Flatness,0.04001673583544616
original_shape_MajorAxisLength,0.0315054404227331
original_shape_SurfaceVolumeRatio,0.027544352939314832
original_ngtdm_Coarseness,0.01369652617590198
original_shape_Sphericity,0.012911155812916564
original_shape_Maximum2DDiameterRow,0.010607791925879951
original_shape_SurfaceArea,0.00724171275701081
original_shape_MeshVolume,0.006458080010018574
original_shape_Maximum3DDiameter,0.0058194850617806935
original_shape_VoxelVolume,0.005137956921486231
original_shape_Maximum2DDiameterSlice,0.00424730694642732
original_glszm_GrayLevelNonUniformity,0.0027100033321221574
original_shape_LeastAxisLength,0.00198501400408404
original_glcm_Idmn,0.0008004171522546621
original_firstorder_Kurtosis,0.0005597993385886401
original_glcm_Idn,0.0005198515731341779
original_glcm_ClusterShade,0.0005070647611140955
original_glcm_InverseVariance,0.0004570290138220856
original_glrlm_RunLengthNonUniformity,0.0003986164414590099
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.00030734188669307995
original_firstorder_10Percentile,0.00025887223036349385
original_glcm_MCC,0.00025098314043426885
original_glszm_SmallAreaEmphasis,0.00016013043685499939
original_glrlm_RunVariance,0.00014012894999517744
original_glszm_LargeAreaHighGrayLevelEmphasis,0.00013486440720313908
original_gldm_DependenceNonUniformityNormalized,0.00011825002195116063
original_glcm_Imc2,0.000110983275677079
original_glszm_SizeZoneNonUniformityNormalized,9.150152223879049e-05
original_glszm_LargeAreaLowGrayLevelEmphasis,8.583728376572175e-05
original_gldm_LargeDependenceLowGrayLevelEmphasis,8.566713354692945e-05
original_gldm_DependenceEntropy,8.45006672581361e-05
original_glcm_Imc1,8.135778162138285e-05
original_firstorder_Energy,7.035704310269786e-05
original_glcm_Correlation,6.642512918916265e-05
original_glcm_DifferenceEntropy,6.549835455436082e-05
original_gldm_LargeDependenceEmphasis,6.314860093631358e-05
original_glcm_SumEntropy,6.146073702277821e-05
original_glszm_GrayLevelVariance,6.034975212111382e-05
original_firstorder_RootMeanSquared,5.707997955668453e-05
original_gldm_DependenceNonUniformity,5.204353961839603e-05
