FeatureSet,Task,Model,Split,MAE,MAE_std,R2,R2_std,Accuracy,Accuracy_std,F1,F1_std,Precision,Precision_std,Recall,Recall_std
radiomics,regression,CatBoost,80/20,0.2845951128316095,,0.9376042393952182,,,,,,,,,
radiomics,regression,CatBoost,cv5,0.31770680789466377,0.09264114777705375,0.9032322842176839,0.05838437031510911,,,,,,,,
radiomics,regression,CatBoost,cv10,0.23957892444488907,0.07008614685860651,0.9496944310168466,0.013196715886970498,,,,,,,,
radiomics,regression,RandomForest,80/20,0.1978571428571429,,0.9759050211168465,,,,,,,,,
radiomics,regression,RandomForest,cv5,0.2822857142857143,0.10040850236378775,0.8950483571195061,0.09398083482657227,,,,,,,,
radiomics,regression,RandomForest,cv10,0.20264285714285707,0.06119394561222407,0.947035176071289,0.04455086899647051,,,,,,,,
radiomics,regression,XGBoost,80/20,0.0002674863000200795,,0.9999999480723354,,,,,,,,,
radiomics,regression,XGBoost,cv5,0.04856229973769847,0.09224876384148364,0.9745567634001725,0.050742086415660574,,,,,,,,
radiomics,regression,XGBoost,cv10,0.0004564437607768923,0.0004346422495492236,0.9999994790131362,1.1245207690461597e-06,,,,,,,,
radiomics,regression,LightGBM,80/20,0.2857241380810896,,0.9280471170921205,,,,,,,,,
radiomics,regression,LightGBM,cv5,0.23904723897105118,0.07932419211347111,0.9248900355096497,0.06590898476615388,,,,,,,,
radiomics,regression,LightGBM,cv10,0.09584620660763422,0.03965248491637412,0.9885197029555398,0.007193680867787887,,,,,,,,
radiomics,regression,Linear,80/20,4.903316014609065,,-42.271741316586336,,,,,,,,,
radiomics,regression,Linear,cv5,2.985520065717551,1.0104500878908798,-12.901324496542998,14.741711610508967,,,,,,,,
radiomics,regression,Linear,cv10,1.88006090303534,0.5483617609150319,-2.5374397988207136,2.1014069542139087,,,,,,,,
radiomics,classification,CatBoost,80/20,,,,,1.0,,1.0,,1.0,,1.0,
radiomics,classification,CatBoost,cv5,,,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
radiomics,classification,CatBoost,cv10,,,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
radiomics,classification,RandomForest,80/20,,,,,0.9642857142857143,,0.9428571428571428,,0.9821428571428571,,0.9285714285714286,
radiomics,classification,RandomForest,cv5,,,,,0.8857142857142858,0.08864052604279184,0.857547861249763,0.12730734535116797,0.8924242424242423,0.11182956519613033,0.8476190476190476,0.12928471551934753
radiomics,classification,RandomForest,cv10,,,,,0.9,0.07953949089757176,0.8288636363636364,0.14577706582816996,0.8382142857142856,0.1414992842034303,0.8391666666666667,0.13673016817399478
radiomics,classification,XGBoost,80/20,,,,,1.0,,1.0,,1.0,,1.0,
radiomics,classification,XGBoost,cv5,,,,,0.9928571428571429,0.01428571428571428,0.9927819548872181,0.01443609022556389,0.9971428571428571,0.0057142857142856935,0.9904761904761905,0.01904761904761902
radiomics,classification,XGBoost,cv10,,,,,0.9928571428571429,0.02142857142857142,0.9925925925925926,0.02222222222222222,0.9966666666666667,0.009999999999999998,0.9916666666666666,0.025000000000000012
radiomics,classification,LightGBM,80/20,,,,,1.0,,1.0,,1.0,,1.0,
radiomics,classification,LightGBM,cv5,,,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
radiomics,classification,LightGBM,cv10,,,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
radiomics,classification,Logistic,80/20,,,,,0.14285714285714285,,0.07510204081632653,,0.04329004329004328,,0.2857142857142857,
radiomics,classification,Logistic,cv5,,,,,0.10714285714285714,0.045175395145262566,0.057165944222498655,0.027517478211301075,0.04195081062728122,0.029561865046177912,0.15555555555555556,0.05930648156276002
radiomics,classification,Logistic,cv10,,,,,0.1,0.04738035414793428,0.05403235653235653,0.033306986556451694,0.032683553219267504,0.020509050695224844,0.17619047619047618,0.11177804375529049
radiomics+clinical,regression,CatBoost,80/20,0.17310725687683653,,0.9604181795987528,,,,,,,,,
radiomics+clinical,regression,CatBoost,cv5,0.1480003132788002,0.04459571618368458,0.9745012914824163,0.009694394795901548,,,,,,,,
radiomics+clinical,regression,CatBoost,cv10,0.11683706354628429,0.04008408204755525,0.9836644430401374,0.011588147900955345,,,,,,,,
radiomics+clinical,regression,RandomForest,80/20,0.09285714285714282,,0.9890680431722196,,,,,,,,,
radiomics+clinical,regression,RandomForest,cv5,0.1384285714285714,0.07570909685723887,0.9549298909776314,0.06192908615044297,,,,,,,,
radiomics+clinical,regression,RandomForest,cv10,0.09199999999999996,0.021205505638577826,0.9891092897195275,0.00488103653665336,,,,,,,,
radiomics+clinical,regression,XGBoost,80/20,0.0002002427271301193,,0.9999999733996329,,,,,,,,,
radiomics+clinical,regression,XGBoost,cv5,0.022964556622901002,0.045251328887874434,0.9874094211995331,0.02518051088390402,,,,,,,,
radiomics+clinical,regression,XGBoost,cv10,0.00022969278465357745,9.456590281699152e-05,0.9999999175696604,1.0520742678737427e-07,,,,,,,,
radiomics+clinical,regression,LightGBM,80/20,0.0833808118007978,,0.9904407102104352,,,,,,,,,
radiomics+clinical,regression,LightGBM,cv5,0.09463574714216506,0.05042238344319727,0.9819098311310558,0.021238854325125393,,,,,,,,
radiomics+clinical,regression,LightGBM,cv10,0.05946984030646961,0.031635278772524186,0.9939958157844494,0.005813592380305191,,,,,,,,
radiomics+clinical,regression,Linear,80/20,1.0034220691219303e-05,,0.9999999999299011,,,,,,,,,
radiomics+clinical,regression,Linear,cv5,9.09631212311357e-06,2.595923462598816e-06,0.9999999999171504,4.691276218042358e-11,,,,,,,,
radiomics+clinical,regression,Linear,cv10,3.85695697336771e-06,2.598418758830596e-06,0.9999999999539044,7.400161637202632e-11,,,,,,,,
radiomics+clinical,classification,CatBoost,80/20,,,,,1.0,,1.0,,1.0,,1.0,
radiomics+clinical,classification,CatBoost,cv5,,,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
radiomics+clinical,classification,CatBoost,cv10,,,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
radiomics+clinical,classification,RandomForest,80/20,,,,,1.0,,1.0,,1.0,,1.0,
radiomics+clinical,classification,RandomForest,cv5,,,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
radiomics+clinical,classification,RandomForest,cv10,,,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
radiomics+clinical,classification,XGBoost,80/20,,,,,1.0,,1.0,,1.0,,1.0,
radiomics+clinical,classification,XGBoost,cv5,,,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
radiomics+clinical,classification,XGBoost,cv10,,,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
radiomics+clinical,classification,LightGBM,80/20,,,,,1.0,,1.0,,1.0,,1.0,
radiomics+clinical,classification,LightGBM,cv5,,,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
radiomics+clinical,classification,LightGBM,cv10,,,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
radiomics+clinical,classification,Logistic,80/20,,,,,0.32142857142857145,,0.1525879917184265,,0.13988095238095236,,0.1886209029066172,
radiomics+clinical,classification,Logistic,cv5,,,,,0.4428571428571429,0.10251928638862373,0.2489628865900427,0.08868369379028136,0.2653301460444318,0.12746227651958006,0.25873015873015875,0.07769675079695504
radiomics+clinical,classification,Logistic,cv10,,,,,0.48571428571428565,0.10973065354098013,0.3259379509379509,0.1341831603473892,0.33512566137566135,0.15098426887875974,0.34666666666666673,0.1287870766463433
