feature,mean_abs_shap
90 days mRS,1.2056444991159887
original_shape_MinorAxisLength,0.09996220619804745
original_shape_Flatness,0.08795592591210186
Procedure time (min),0.0858654408413485
Integrilin dosing (mg),0.0699655889776419
original_shape_Maximum2DDiameterSlice,0.06345807362794115
original_shape_Maximum2DDiameterColumn,0.05929518644684402
original_shape_MajorAxisLength,0.043495240021508126
Attempts#,0.037294343793134656
original_shape_Maximum3DDiameter,0.01451779680343572
original_shape_Maximum2DDiameterRow,0.011682571672870751
Angioplasty,0.009502638240178116
Tandem occlusion,0.009370233156798632
original_glszm_GrayLevelNonUniformity,0.00875508501415046
LOS,0.006695729133220081
Diabetes,0.006475414268993571
CHF,0.006072266159636445
original_shape_Elongation,0.005755264777855145
Complications?,0.00509988734499977
Balloon used?,0.005072791354343138
Stent,0.004964815530504808
Hemoglobin A1c,0.00480203411571276
ADMIT NIH,0.004777309211936231
Time to Revasc (min),0.004612180575673088
original_ngtdm_Coarseness,0.004129621753704947
Onset-to-puncture (min),0.004006505896823835
original_glcm_MCC,0.003605184307799578
original_shape_Sphericity,0.0034623599854057847
Days f/u,0.003453512690899799
CAD,0.0033353977623870714
Discharge antithrombotics,0.0031186977246641973
original_shape_SurfaceArea,0.0025421632490941638
Baseline mRS,0.002415284834330175
Race,0.002361394527710464
original_shape_VoxelVolume,0.0023497085492440333
Heparin dosing,0.0023021554107745495
Etiology,0.002256996297131969
Age,0.002251745201163912
Smoking hx,0.002068777426620995
original_glrlm_RunLengthNonUniformity,0.002001051939737177
original_glcm_Imc1,0.0019200713050611465
Decision based on:,0.0018112874054596587
Approach (fem/rad/other),0.0016006918415165622
original_firstorder_TotalEnergy,0.00145662281165054
original_shape_MeshVolume,0.0013555935033825004
Year,0.0013014225567571916
Vessel 1,0.0012870760513409747
MRN,0.0012814134998117759
Pre-admission anti-thrombotics,0.0011972834699323167
original_gldm_DependenceNonUniformity,0.0010587269965457438
AFIB,0.0010208875838514653
Sex,0.0010172329846699591
Hyper-lipidemia,0.0009119773656368225
original_shape_LeastAxisLength,0.0008910855620264968
Pre/intra-procedural anti-thrombotics,0.0008830447287357223
Post-procedure CT,0.0007924865638249877
IVTPA,0.0007167253264942352
Anesthesia,0.000701552250659393
original_glcm_Correlation,0.000683435212730163
original_ngtdm_Contrast,0.0006639509930027881
Technique (ADAPT/stentriever/solumbra/ot,0.0006376533963744732
original_firstorder_Kurtosis,0.0005719806087639728
Prior Stroke,0.000571587184657414
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.0005308309547867906
original_glrlm_LongRunLowGrayLevelEmphasis,0.000529199811645088
original_gldm_DependenceEntropy,0.00044996482720072124
original_glcm_Id,0.0004311459516430905
original_glcm_ClusterProminence,0.00042653834438809255
original_firstorder_Skewness,0.0004124584231727092
original_glrlm_GrayLevelNonUniformity,0.00040408163265306165
Balloon guide used?,0.00038832680290569406
original_glrlm_RunEntropy,0.00035526886945254203
original_glcm_Contrast,0.0003532957646335374
original_glcm_Idn,0.0003499678372109877
original_firstorder_90Percentile,0.0003446453435175231
original_glcm_Imc2,0.00033930800794125385
original_gldm_LowGrayLevelEmphasis,0.000336968537414966
Stentriever used?,0.0003312899786780383
original_firstorder_10Percentile,0.00033072562358276553
original_shape_SurfaceVolumeRatio,0.000324535908890919
original_glszm_LargeAreaLowGrayLevelEmphasis,0.00031705911531279167
Craniectomy,0.0003087837076965008
original_glcm_InverseVariance,0.00030061858076563925
original_gldm_HighGrayLevelEmphasis,0.00029119425547996953
original_firstorder_Median,0.00028572974707461954
