feature,correlation,sample_size
FLAIR_original_glcm_Idn,0.29764379308270394,128
ADC_original_glszm_ZoneEntropy,0.2905415069341352,128
T1_original_glcm_Idn,0.2844421957097755,128
FLAIR_original_glcm_Idmn,0.27191405402764085,128
DWI_original_glrlm_RunVariance,0.2570534593909267,128
ADC_original_firstorder_Minimum,0.25357629317198876,128
T2_original_gldm_SmallDependenceLowGrayLevelEmphasis,0.25326731316914497,128
T1_original_shape_Maximum2DDiameterColumn,0.24985585345107802,128
T2_original_shape_Maximum2DDiameterColumn,0.24985585345107802,128
FLAIR_original_shape_Maximum2DDiameterColumn,0.24985585345107802,128
DWI_original_shape_Maximum2DDiameterColumn,0.24985585345107802,128
ADC_original_shape_Maximum2DDiameterColumn,0.24985585345107802,128
DWI_original_glrlm_LongRunEmphasis,0.24851776940985215,128
FLAIR_original_gldm_DependenceVariance,0.24497781393425935,128
T1_original_shape_Maximum2DDiameterRow,0.24487557124726,128
T2_original_shape_Maximum2DDiameterRow,0.24487557124726,128
FLAIR_original_shape_Maximum2DDiameterRow,0.24487557124726,128
DWI_original_shape_Maximum2DDiameterRow,0.24487557124726,128
ADC_original_shape_Maximum2DDiameterRow,0.24487557124726,128
T2_original_glcm_Idn,0.23950081842156717,128
