Scan_Type,Rank,Feature_Name,Full_Feature_Name,Correlation,Sample_Size
T1,1,original_glcm_Idn,T1_original_glcm_Idn,0.348,128
T1,2,original_shape_Maximum2DDiameterRow,T1_original_shape_Maximum2DDiameterRow,0.315,128
T1,3,original_firstorder_Minimum,T1_original_firstorder_Minimum,0.298,128
T1,4,original_glcm_Idmn,T1_original_glcm_Idmn,0.296,128
T1,5,original_shape_Maximum2DDiameterSlice,T1_original_shape_Maximum2DDiameterSlice,0.275,128
T2,1,original_shape_Maximum2DDiameterRow,T2_original_shape_Maximum2DDiameterRow,0.315,128
T2,2,original_glcm_Idn,T2_original_glcm_Idn,0.28,128
T2,3,original_shape_Maximum2DDiameterSlice,T2_original_shape_Maximum2DDiameterSlice,0.275,128
T2,4,original_glcm_Idmn,T2_original_glcm_Idmn,0.274,128
T2,5,original_gldm_SmallDependenceLowGrayLevelEmphasis,T2_original_gldm_SmallDependenceLowGrayLevelEmphasis,0.27,128
FLAIR,1,original_glcm_Idn,FLAIR_original_glcm_Idn,0.369,128
FLAIR,2,original_glcm_Idmn,FLAIR_original_glcm_Idmn,0.334,128
FLAIR,3,original_shape_Maximum2DDiameterRow,FLAIR_original_shape_Maximum2DDiameterRow,0.315,128
FLAIR,4,original_gldm_DependenceVariance,FLAIR_original_gldm_DependenceVariance,0.314,128
FLAIR,5,original_gldm_LargeDependenceEmphasis,FLAIR_original_gldm_LargeDependenceEmphasis,0.304,128
DWI,1,original_shape_Maximum2DDiameterRow,DWI_original_shape_Maximum2DDiameterRow,0.315,128
DWI,2,original_shape_Maximum2DDiameterSlice,DWI_original_shape_Maximum2DDiameterSlice,0.275,128
DWI,3,original_shape_Maximum3DDiameter,DWI_original_shape_Maximum3DDiameter,0.267,128
DWI,4,original_glrlm_RunVariance,DWI_original_glrlm_RunVariance,0.265,128
DWI,5,original_shape_Maximum2DDiameterColumn,DWI_original_shape_Maximum2DDiameterColumn,0.265,128
ADC,1,original_glszm_ZoneEntropy,ADC_original_glszm_ZoneEntropy,0.345,128
ADC,2,original_shape_Maximum2DDiameterRow,ADC_original_shape_Maximum2DDiameterRow,0.315,128
ADC,3,original_gldm_DependenceEntropy,ADC_original_gldm_DependenceEntropy,0.314,128
ADC,4,original_firstorder_Minimum,ADC_original_firstorder_Minimum,0.277,128
ADC,5,original_shape_Maximum2DDiameterSlice,ADC_original_shape_Maximum2DDiameterSlice,0.275,128
